candidate_id,rank,score,reasoning
CAND_0058688,75,0.6778,"AI Engineer, 6.7 yrs experience; roles at Vedantu (EdTech), Apple (Consumer Electronics); backed ranking/retrieval skills; actively available."
CAND_0003572,76,0.6777,"Software Engineer, 7.9 yrs experience; roles at Flipkart (E-commerce), Meesho (E-commerce); verified skill assessment 72 on ranking/retrieval; India-based; actively available."
CAND_0032912,77,0.6776,"Data Engineer, 6.2 yrs experience; roles at Freshworks (SaaS), Swiggy (Food Delivery); verified skill assessment 68 on ranking/retrieval; India-based; actively available."
CAND_0018888,78,0.6775,"AI Research Engineer, 6.5 yrs experience; roles at Razorpay (Fintech), Vedantu (EdTech); backed ranking/retrieval skills; India-based."
CAND_0073007,79,0.6757,"AI Specialist, 5.8 yrs experience; roles at Aganitha (AI/ML), Glance (AI/ML); verified skill assessment 45 on ranking/retrieval; India-based; actively available."
CAND_0030946,80,0.6749,"Junior ML Engineer, 6.7 yrs experience; roles at Yellow.ai (AI/ML), Glance (AI/ML); backed ranking/retrieval skills; India-based."
CAND_0052827,81,0.6739,"Data Scientist, 5.9 yrs experience; roles at Genpact AI (AI Services), CRED (Fintech); verified skill assessment 77 on ranking/retrieval; India-based."
CAND_0004754,82,0.6734,"Java Developer, 6.8 yrs experience; roles at CRED (Fintech), Pied Piper (Software); verified skill assessment 77 on ranking/retrieval; India-based."
CAND_0049543,83,0.6720,"ML Engineer, 6.1 yrs experience; roles at PolicyBazaar (Insurance Tech), Vedantu (EdTech); backed ranking/retrieval skills; India-based."
CAND_0012837,84,0.6717,"Junior ML Engineer, 6.4 yrs experience; roles at Sarvam AI (AI/ML), CRED (Fintech); verified skill assessment 66 on ranking/retrieval; India-based; actively available."
CAND_0095528,85,0.6712,"Senior Data Scientist, 5.3 yrs experience; roles at Netflix (Media), Adobe (Software); verified skill assessment 86 on ranking/retrieval; India-based; actively available."
CAND_0000165,86,0.6711,"AI Specialist, 6.8 yrs experience; roles at Mad Street Den (AI/ML), BYJU'S (EdTech); verified skill assessment 84 on ranking/retrieval."
CAND_0041402,87,0.6704,"AI Specialist, 6.3 yrs experience; roles at Ola (Transportation), Observe.AI (AI/ML); verified skill assessment 55 on ranking/retrieval; India-based."
CAND_0037995,88,0.6703,"Analytics Engineer, 7.6 yrs experience; roles at Zomato (Food Delivery), Wipro (IT Services); verified skill assessment 79 on ranking/retrieval."
CAND_0009024,89,0.6693,"Search Engineer, 5.2 yrs experience; roles at Google (Internet), Aganitha (AI/ML); verified skill assessment 81 on ranking/retrieval; India-based."
CAND_0090584,90,0.6689,"ML Engineer, 5.1 yrs experience; roles at Flipkart (E-commerce), Wipro (IT Services); verified skill assessment 71 on ranking/retrieval; India-based."
CAND_0044850,91,0.6676,"Backend Engineer, 6.9 yrs experience; roles at upGrad (EdTech), Wipro (IT Services); verified skill assessment 57 on ranking/retrieval; India-based; actively available."
CAND_0088441,92,0.6674,"AI Specialist, 6.5 yrs experience; roles at Sarvam AI (AI/ML), Swiggy (Food Delivery); verified skill assessment 72 on ranking/retrieval; India-based."
CAND_0099108,93,0.6669,"Software Engineer, 7.3 yrs experience; roles at Dream11 (Gaming), PharmEasy (HealthTech); verified skill assessment 74 on ranking/retrieval; India-based."
CAND_0069773,94,0.6659,"AI Research Engineer, 6.0 yrs experience; roles at Nykaa (E-commerce), Genpact AI (AI Services); verified skill assessment 82 on ranking/retrieval; India-based."
CAND_0066414,95,0.6651,"QA Engineer, 7.2 yrs experience; roles at HCL (IT Services), Capgemini (IT Services); verified skill assessment 73 on ranking/retrieval; India-based; actively available."
CAND_0032594,96,0.6642,"Software Engineer, 7.9 yrs experience; roles at TCS (IT Services), BYJU'S (EdTech); verified skill assessment 60 on ranking/retrieval; India-based."
CAND_0077536,97,0.6642,"Data Analyst, 7.2 yrs experience; roles at BYJU'S (EdTech), PharmEasy (HealthTech); verified skill assessment 72 on ranking/retrieval; India-based."
CAND_0086460,98,0.6639,"ML Engineer, 6.2 yrs experience; roles at Meesho (E-commerce), Saarthi.ai (Voice AI); verified skill assessment 59 on ranking/retrieval; India-based."
CAND_0037980,99,0.6635,"Senior Applied Scientist, 9.0 yrs experience; roles at Niramai (HealthTech AI), Verloop.io (Conversational AI); verified skill assessment 72 on ranking/retrieval; India-based."
CAND_0043958,100,0.6631,"AI Research Engineer, 6.7 yrs experience; roles at Dream11 (Gaming), PhonePe (Fintech); verified skill assessment 43 on ranking/retrieval; India-based; actively available."
